org,code,description,plant,event_year,entity_key,erp_system,family
CPCL,4957084984,"Plug Vlv Jkt A216 Wcb Fl 150 8x6 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,CPCL-JACKETED-PLUG-VALVE-A216-WCB-150-8X6,public_GeM_tender,valve
CPCL,4957080014,"Plug Vlv Jkt A216 Wcb Fl 150 10x8 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,CPCL-JACKETED-PLUG-VALVE-A216-WCB-150-10X8,public_GeM_tender,valve
CPCL,4957084914,"Plug Vlv Jkt A216 Wcb Fl 150 2x3 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,CPCL-JACKETED-PLUG-VALVE-A216-WCB-150-2X3,public_GeM_tender,valve
CPCL,4957084974,"Plug Vlv Jkt A216 Wcb Fl 150 4x6 In; jacketed plug valve; flanged B16.5 RF; bolted bonnet; gear operated; BS 5353; VMS 552323",Manali Refinery,2026,CPCL-JACKETED-PLUG-VALVE-A216-WCB-150-4X6,public_GeM_tender,valve
